text,actual_label,predicted_label,prob_negative,prob_neutral,prob_positive,is_correct
fav game,negative,negative,0.9905968473064409,0.00028092974396605946,0.009122222949592997,True
like concrete model furniture,positive,neutral,0.025263589890683173,0.9483066857898824,0.02642972431943433,False
yeah,neutral,neutral,0.015847036361558497,0.9610250550721617,0.0231279085662797,True
w game,negative,negative,0.9999998499998997,5.000004645258318e-08,1.0000005392615562e-07,True
fake minecraft app install,negative,neutral,0.17854765334265862,0.7546748269826362,0.06677751967470484,False
good problem come game play kick game fix,negative,negative,0.9616156843241966,0.0005998533648954739,0.037784462310908,True
fav game,negative,negative,0.9905968473064409,0.00028092974396605946,0.009122222949592997,True
finally fix glitch star,neutral,neutral,0.004327377575441756,0.9942995612057044,0.0013730612188538706,True
ballon funnest thing,neutral,neutral,0.14291557350149187,0.8088374832147729,0.04824694328373506,True
minecraft play world suddenly freeze restarts ipad,neutral,neutral,0.1535393719684247,0.791040481071496,0.055420146960078714,True
emmmmm new update need,positive,positive,0.3698724028089097,0.013883322350453732,0.6162442748406366,True
game good love game favourite youtuber gamer fleet play game gamer fleet play game see video gamerfleet gamer fleet seen tweet please talk liliville stream day applode fleet smp stream play game build house love wood house minecraft real life love morden house never play game creative cheater use creative mode love,positive,positive,0.03133394262787537,1.8732421615037024e-06,0.9686641841299631,True
el maincra de toda la vida,neutral,neutral,0.025981276494353917,0.8833210226668502,0.09069770083879562,True
mine craft like title say,neutral,neutral,0.02719627952770153,0.9453797517711783,0.02742396870112019,True
good,positive,positive,1.4615021671536961e-12,1.1379869151691492e-12,0.9999999999974004,True
best open world game please add new bos better ender dragon,positive,positive,7.310223296963049e-07,3.713678308895408e-07,0.9999988976098393,True
vr eray godgame,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
wasnt beta bc update im beta hell better lose world started,positive,neutral,0.024365316293177067,0.32380168587278696,0.651832997834036,False
useless game wish could get money back,negative,negative,0.976124510610453,0.0027765001121821072,0.02109898927736511,True
op game,negative,negative,0.9967952866054428,9.087153800023388e-06,0.0031956262407571373,True
nice game r diya hai nice game hai kidding fun game play friend daily hour,positive,negative,0.5630057593387543,0.0007790036327513703,0.43621523702849435,False
plying world quiting without saving world rejoin world file changed location please fix cant get world back,neutral,neutral,0.11255295551725307,0.8480083947758079,0.03943864970693915,True
app list great game creativity definitely recommend something also wrong marketplace wont let device download anything oh well also psst mojang change photo mobile doesnt accurately show game,negative,negative,0.905986375826806,0.005333022524811233,0.08868060164838268,True
love game paid cant install game mojang please something,negative,negative,0.864601085067318,0.00023414754170274368,0.1351647673909793,True
everytime enter nether portal always died loading screen long gone,negative,negative,0.9574388882392404,0.02032231596970287,0.022238795791056632,True
lover free fire,positive,neutral,0.0031208856231664697,0.5906629190331393,0.40621619534369446,False
best open world game ever,positive,positive,4.3503438667424525e-06,2.170098166215244e-06,0.999993479557967,True
game install please help,negative,negative,0.9721101809833059,0.005749857719299946,0.02213996129739386,True
addons block getting achievement trophy java add mod still get base game achievementstrophies bedrock get blocked fun trying get achievement trophy,negative,negative,0.7424400245671454,0.007513831441072888,0.2500461439917818,True
game installed even paid,negative,negative,0.9716414167859777,0.007672054542790813,0.02068652867123154,True
bahut achcha game hai,negative,negative,0.9659051418110255,0.013806486339879596,0.02028837184909501,True
op,neutral,neutral,0.016111775784062008,0.9499309627994185,0.03395726141651928,True
satisfying game horrible mob much irritating,negative,negative,0.9879451935916027,8.112238910289304e-05,0.0119736840192944,True
played bit year woah armadillo skeleton temple wind charge dont play much prefer cottagecore survival new feature sure surprising,positive,positive,0.39254154554283127,0.005033221009145466,0.6024252334480232,True
like app mobile mobile sometimes come end want refund becuz im broke wont let hope devs hear hello hear,neutral,neutral,0.18900029306894775,0.7553873439098077,0.055612363021244816,True
kgdru opminecraft,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
hat game,negative,negative,0.9999998499998997,5.000004645258318e-08,1.0000005392615562e-07,True
pocket addition couldnt join server plz slove problem mojang,neutral,neutral,0.04949402545221207,0.9238952001478501,0.026610774399937896,True
mujhe rupaiya baba chahie account mein mujhe nahin karna game download,negative,neutral,0.4468995376047123,0.5014973500788521,0.05160311231643572,False
love game ausoom,positive,positive,0.019933852700914335,2.1585727009510044e-07,0.9800659314418156,True
nice game,positive,positive,0.04395948244899335,3.626988494501355e-06,0.9560368905625122,True
keep changing camera perspective game please fix,negative,negative,0.9655704100883691,0.006986672716343428,0.027442917195287287,True
server problem ho rahi hai,neutral,neutral,0.026624436901545707,0.9516432682142567,0.02173229488419742,True
gooood thank,neutral,neutral,0.027548047387622804,0.9570005089369076,0.01545144367546939,True
opp game,negative,negative,0.9999998499998997,5.000004645258318e-08,1.0000005392615562e-07,True
new control awful im sure new player appreciate played different device old control since cant use new one please make option use original control original design otherwise would least star probably,positive,positive,0.3454698721657061,0.0002209764995381757,0.6543091513347559,True
lost everything game crash clear inventory clean level,positive,negative,0.9472668663437798,0.02733995867441373,0.02539317498180638,False
cant install giving error,neutral,neutral,0.06001319677996873,0.9179837601607217,0.022003043059309522,True
im extremely disappointed minecrafts performance india im constantly faced server issue disconnection lag cant even play friend despite trying troubleshooting vpn problem persist frustrating see game much potential marred poor server performance please fix minecraft team,negative,negative,0.9957782168471965,0.0010213285483400432,0.003200454604463405,True
love playing game sibling,positive,positive,0.0365609839043816,3.922503912712404e-06,0.9634350935917058,True
played year,neutral,neutral,0.35046787294519394,0.462163717170361,0.1873684098844451,True
love game,positive,positive,0.019933852700914335,2.1585727009510044e-07,0.9800659314418156,True
love game swear game like thank creating game called minecraft,negative,negative,0.9600204822467185,0.0006442052511291819,0.03933531250215212,True
world game,negative,negative,0.9986213921211763,1.0762134387687233e-06,0.0013775316653848587,True
w game,negative,negative,0.9999998499998997,5.000004645258318e-08,1.0000005392615562e-07,True
good,positive,positive,1.4615021671536961e-12,1.1379869151691492e-12,0.9999999999974004,True
real world realistic game,negative,negative,0.8180572996242779,0.001294092751211451,0.18064860762451065,True
best gamel love minecraft,positive,positive,2.5250934946500026e-14,2.986562144788627e-14,0.9999999999999448,True
minecraft best game world,positive,positive,5.864988764001694e-07,2.9285641582627514e-07,0.9999991206447078,True
app installed give money give money,neutral,neutral,0.17161953480777584,0.7149560304724012,0.11342443471982293,True
horrible game refuse give refund,negative,negative,0.9988415948371564,0.0001431339204486476,0.0010152712423949124,True
purchased can install eveytime install say unable install,negative,negative,0.6623344274333454,0.2786378656836383,0.059027706883016576,True
minecraft mobile version worse control set guy please download phase even spend money future thought fix lag issue iam done buy minecraft,negative,neutral,0.567707156916861,0.353455953977948,0.07883688910519103,False
game annoying also fun launcher buggy make custom skin skindex recently havent able load saying need x png file kept restating computer wont load file really annoying spent several hour trying fix,negative,negative,0.9649563945211799,0.0031267451091721342,0.03191686036964806,True
game need hole life,negative,negative,0.9818127578260357,0.0028858266099666447,0.01530141556399765,True
best game ever mogang best love build endless highly recommended best game ever could give star would bug every update get better love game thanks mogang,positive,positive,8.268892485490658e-11,4.1359029109523e-11,0.9999999998759521,True
minecraft nice game game update late boring plz mojang give u op update like add furniture new animal bird fish minecraft please update game,negative,negative,0.9490531045109132,8.562212193388222e-05,0.050861273367153105,True
marvelous,positive,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,False
dont like buyed minecraft game like change device like apsamsung phone saids need buy suck bruhmand go acc buyed game still ssid need buy,negative,negative,0.9728778266078631,0.014807741826574676,0.012314431565562396,True
like phone android also need cloud storage world save every time uninstall game world also delete bad experience,negative,negative,0.9742029450404011,0.02116336035720508,0.004633694602393948,True
seruu bgttt apalagi klo udahh mabarr beuhhh seruu bangettt bangett bangettt plissss,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
game best game ever rupee,positive,positive,0.1858511430321394,0.0003953019837438392,0.8137535549841167,True
fun game license error locked please minecraft fix,negative,negative,0.8438121746286891,0.03245638352927541,0.12373144184203572,True
also leave beta program still beta minecraft annoying,negative,negative,0.6512778561912035,0.2923248365275006,0.056397307281296126,True
niceeeee,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
best game,positive,positive,8.198193500319978e-10,4.0988755311738256e-10,0.9999999987702931,True
please make minecraft licence,neutral,neutral,0.02390726166228901,0.9383608754868066,0.037731862850904435,True
niceeeeeeeeeeeee,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
best game,positive,positive,8.198193500319978e-10,4.0988755311738256e-10,0.9999999987702931,True
minecraft goated iit teach u creativity connect friend one best game get challenging sometimes survival fun much minecraft,positive,positive,0.23757274721759838,0.0014823135194844464,0.760944939262917,True
game good son son like adventure,positive,positive,0.12207407122067893,0.010574986977581035,0.8673509418017399,True
unable download another device coming file alredy exist there file device,negative,negative,0.5613058092314297,0.32196028190200415,0.11673390886656627,True
idk happened kept losing world also everytime open game show ive logged even though never please yall fix issue frustrating cuz cant play brother always lost world weve playing,negative,negative,0.8345676859146947,0.04086565791328261,0.12456665617202292,True
cant dowload even though bought say cant dowload minecraftplay friend mean nonsence payed money star,negative,negative,0.7431221881722103,0.24375192618096916,0.013125885646820656,True
question way dont think would happened anyone,neutral,neutral,0.2687270209017589,0.2888357858147605,0.4424371932834806,True
boring,negative,negative,0.9878224567130082,0.01125570924084815,0.0009218340461437501,True
cant edit skin wifi cellular data applies multiplayer content marketplace skin editingimporting besides great game also use skin us slim arm size every time open game skin change thick arm size,negative,negative,0.762593663655282,0.017545667343408865,0.21986066900130885,True
game download fix problem recharge use recharge back plz,negative,negative,0.9266179103911878,0.061293536241607556,0.012088553367204683,True
bro best experience every game played,positive,positive,0.2350816875020219,0.003698968765923125,0.761219343732055,True
op,neutral,neutral,0.016111775784062008,0.9499309627994185,0.03395726141651928,True
op,neutral,neutral,0.016111775784062008,0.9499309627994185,0.03395726141651928,True
best game minecraft,positive,positive,2.8590159325774226e-08,1.4290558008112807e-08,0.9999999571192826,True
oppppppp game,negative,negative,0.9999998499998997,5.000004645258318e-08,1.0000005392615562e-07,True
amazing,positive,positive,9.656970586239492e-08,1.1114649958655693e-07,0.9999997922837945,True
pra avisar que da pra mudar controle na opo toque dentro mundo,neutral,neutral,0.01476572606375053,0.9517344817826567,0.03349979215359258,True
wish update didnt take much storage bc say like mb got update enough storage say need delete thing end uninstall minecraft reinstall get update,positive,neutral,0.34408634413784667,0.49641859150234646,0.15949506435980673,False
bad game,negative,negative,0.9999990273394432,5.242838736726392e-08,9.20232169400424e-07,True
bugrock,neutral,neutral,0.006958305251794087,0.9728298409004377,0.020211853847768167,True
good,positive,positive,1.4615021671536961e-12,1.1379869151691492e-12,0.9999999999974004,True
unpleasant experience,negative,neutral,0.03250656463350509,0.9428431108551126,0.024650324511382382,False
add item carry hand left right,positive,neutral,0.19756730735213185,0.6843056977522983,0.1181269948955699,False
creative wonderful good qualitya bit pixely fantastic amazing game time possibilaties litterally endless altough cost bit money ounce monthly payment money soooo worth game playing since year still havent gotten bord really tired roblox simulation game game need recommended game ever,positive,positive,0.0470556972014121,5.326552498252404e-06,0.9529389762460896,True
problem face whenever try join server show disconnected server please solve problem,neutral,neutral,0.10063495018197698,0.8746535682023103,0.02471148161571255,True
game coming back motivation ever,negative,negative,0.8462527323646548,0.02100334731047592,0.1327439203248692,True
something never worked,neutral,neutral,0.09535655634759763,0.7733065036802749,0.13133693997212745,True
trap door glichwater flow close trapdoor,neutral,neutral,0.012292319617385087,0.971727238095432,0.015980442287182785,True
gg,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
great game,positive,positive,0.0035463156911042988,1.1014628234800696e-06,0.9964525828460721,True
really need describe minecraft star real gamer know good,positive,positive,0.023641564888752128,0.0013776617466172928,0.9749807733646307,True
even gon lie minecraft full bug many bug infact even single one get fix whenever play survival glitch world whenever go end get elytron keep getting fall damage fire work men game bug game,negative,negative,0.8123271320068333,0.011366586178328291,0.17630628181483848,True
kharid liya,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
overall like minecraft since guy added new screen recorder thing popups continue without mic option especially show random used controller game popup show continue move forward moved joint stick lost hardcore world pop give option silence long period time please frustrating,negative,negative,0.9769467965415419,0.0003969203907890899,0.02265628306766909,True
want refund,neutral,neutral,0.006012836065294908,0.9798847069234718,0.014102457011233287,True
kerwn coy,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
super game,negative,negative,0.9441810132837835,2.7017267571517642e-05,0.05579196944864482,True
mob ugly,negative,neutral,0.08149921559056761,0.4373595373173257,0.4811412470921064,False
bajinguk,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
like fun get educational fun get worth,positive,positive,0.19204467914308002,0.011371951169700726,0.7965833696872193,True
favourite game happy find game game cool,negative,negative,0.9447108986199853,2.017136500995557e-06,0.05528708424351356,True
bast game,negative,negative,0.9989673325263889,0.00014937946462729965,0.0008832880089837017,True
cant sign microsoft account everytime confirm password let sign even tho password correct,neutral,neutral,0.034697782288271806,0.9460937235132069,0.019208494198521383,True
noice,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
want money back,neutral,neutral,0.2986611273370869,0.6181163789709732,0.08322249369194018,True
sadggktichfudu,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
minecraft beast cant stop play,neutral,neutral,0.014507728225331014,0.9583657796265549,0.027126492148113853,True
game good game join indian server issue join indian server plz mojang,negative,negative,0.5039461132598967,0.025401064284693433,0.4706528224554098,True
nice game,positive,positive,0.04395948244899335,3.626988494501355e-06,0.9560368905625122,True
best adding hardcore bundle,positive,positive,0.008207854656126416,0.10551587124914197,0.8862762740947316,True
deleted world saying download external storage file like checked every single one,negative,neutral,0.08215268672807022,0.8919114006298764,0.025935912642053225,False
like minecraft great,positive,positive,8.472248756570553e-05,0.008013142113820084,0.991902135398614,True
best game ever,positive,positive,2.5511569663291125e-08,1.2752044366013824e-08,0.999999961736386,True
ok fixed,positive,positive,0.002244771566130018,0.00033977510041210415,0.9974154533334578,True
also decrease price window version,neutral,neutral,0.008566316688221907,0.8250729083745004,0.16636077493727766,True
nice game,positive,positive,0.04395948244899335,3.626988494501355e-06,0.9560368905625122,True
want refund didnt get,neutral,neutral,0.06606183478735271,0.8900814991221285,0.0438566660905188,True
minecraft could bad,negative,negative,0.9648431887521707,0.011557517868032172,0.02359929337979727,True
game goat,negative,negative,0.9967014829390536,0.00020347629294318562,0.003095040768003109,True
good,positive,positive,1.4615021671536961e-12,1.1379869151691492e-12,0.9999999999974004,True
awesome,positive,positive,4.435155537669619e-05,0.0021491712179898845,0.9978064772266332,True
best game ever love game happy,positive,positive,8.525211514207318e-11,4.2625500199693626e-11,0.9999999998721224,True
start play game year ago problem game best game ever india poketedition server working perfectly please fix,positive,positive,0.4487498071105995,0.0001069482183460884,0.5511432446710547,True
update bagus udah ga ada bug freez bug fps drop ke tapi kenapa pa update malah balik lagi bugnyatolong bug freeznya mengganggu banget apalagi kalo lagi mining banyak mob,neutral,neutral,0.015569376981059075,0.8122551272635875,0.17217549575535335,True
minecraft game op,negative,negative,0.9891056962923788,0.0001115842273442674,0.010782719480277049,True
thanks mojang low price love game since childhood im much older play go,positive,positive,0.09421845060186959,0.001034773149832698,0.9047467762482977,True
love game,positive,positive,0.019933852700914335,2.1585727009510044e-07,0.9800659314418156,True
wow,positive,positive,0.0232567517803974,0.010637905554791991,0.9661053426648105,True
minecraft devs turned achevments tnt mod took cant get achevments world fix please,positive,positive,0.14752306648280522,0.24744684835202163,0.6050300851651733,True
best game education,positive,positive,8.198193500319978e-10,4.0988755311738256e-10,0.9999999987702931,True
op,neutral,neutral,0.016111775784062008,0.9499309627994185,0.03395726141651928,True
good game kinda cool opinion best game gameversebut time tried play new phone go blank removed,positive,positive,0.017521721535120147,1.4844953825742902e-06,0.9824767939694975,True
one best mobile game ever played much prefer onetime pay game constantly bombarded random popups ad plus optimised well balanced game dont worry daily login get bizzare outfit token like game play whenever want relaxing chilling,negative,negative,0.9673236993401897,0.0004463697522761412,0.03222993090753418,True
server joining,neutral,neutral,0.013370812271072402,0.937960430020887,0.048668757708040515,True
damn minecraft,neutral,neutral,0.10249579741793322,0.6758632709278091,0.22164093165425766,True
make application minecraft application world backup,neutral,neutral,0.06493934823692123,0.8971252152951459,0.03793543646793292,True
haha,positive,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,False
op game,negative,negative,0.9967952866054428,9.087153800023388e-06,0.0031956262407571373,True
favourite game every one play game interesting game,negative,negative,0.9992640926867924,3.2038603751226144e-07,0.0007355869271702787,True
like playing minecraft today reason pop ad game never used please fix,negative,negative,0.670311126930621,0.2154448930600019,0.11424398000937708,True
happy th birthday minecraftthis game interestingvery challenging one fav game,positive,negative,0.7890565830790823,0.00015038514392501948,0.21079303177699255,False
cant play online frends,neutral,neutral,0.033908545544650344,0.9377527043145344,0.028338750140815206,True
app isnt installing,neutral,neutral,0.018211548588956107,0.943376830270481,0.03841162114056277,True
best game ever play friend play many mod game best game,positive,positive,2.0889043079271858e-08,1.0441668081007015e-08,0.9999999686692889,True
op,neutral,neutral,0.016111775784062008,0.9499309627994185,0.03395726141651928,True
achcha game hai new update dalo jahan ek structure ho sa leg please crear,negative,negative,0.928957484748195,0.006668615604659548,0.06437389964714577,True
love game good game problem upgrade control merge please make gap buttonsthank making game,negative,negative,0.913736573772166,7.227183581833865e-06,0.08625619904425222,True
bought game downloading happen everyone want play minecraft play store earn money fraud never buy game trust,negative,negative,0.9794391192947871,0.002589942500501292,0.01797093820471161,True
fun game friend,negative,negative,0.8933726034463585,1.787104971697214e-05,0.10660952550392447,True
gave update good,positive,positive,0.0050984577322632394,0.0044614169928519284,0.9904401252748849,True
best sandbox game ever,positive,positive,0.001721942648333204,0.00017895799381207825,0.9980990993578548,True
greatest game time,positive,negative,0.9982230802320186,1.969155204296773e-06,0.0017749506127771758,False
thanks mojang fix minecraft bug variouslag,positive,neutral,0.0076689262415361075,0.9245390159860407,0.06779205777242327,False
working app,neutral,neutral,0.024717489580931208,0.9537404297270103,0.02154208069205866,True
always get severe fps drop playing,neutral,negative,0.22752952161172524,0.3000631021266972,0.47240737626157764,False
drain phone battery,neutral,neutral,0.012113750409571918,0.9739458793972663,0.013940370193161971,True
super game,negative,negative,0.9441810132837835,2.7017267571517642e-05,0.05579196944864482,True
nice surviv,positive,positive,2.7823802282984587e-08,3.237382544085161e-08,0.9999999398023723,True
loading loading whole time,positive,neutral,0.07156653780346807,0.7892969500537249,0.13913651214280692,False
op game,negative,negative,0.9967952866054428,9.087153800023388e-06,0.0031956262407571373,True
trying last week app isnt downloading device,neutral,neutral,0.03555819539103193,0.9216888725427023,0.0427529320662655,True
torch hold left hand,neutral,neutral,0.006326740821158767,0.9753278504296263,0.018345408749214837,True
love game mojang u pls add capybara mob game,negative,negative,0.5598511448330078,0.0008245780912837239,0.4393242770757083,True
game goated,negative,negative,0.9891428399727294,0.002221117943906757,0.008636042083364135,True
play device give please help,neutral,neutral,0.07473476161747804,0.8276886742311518,0.09757656415137023,True
juegazo pero mojang debera trabajar m de minutos xd,neutral,neutral,0.02143890213678599,0.9417588174080369,0.036802280455177167,True
good game,positive,positive,0.01214113235802541,7.349976979480037e-08,0.987858794142205,True
keep crashing dammit,neutral,neutral,0.03228352596136919,0.888590814219634,0.07912565981899686,True
game good game,negative,negative,0.9442826182963362,1.6130447379634322e-06,0.05571576865892592,True
join server show unable connect world disconnect server tried friend phone also cant join server also tried another device also condition please solve problem,negative,neutral,0.5093730612028643,0.40395617825249264,0.08667076054464298,False
cant download minecraft,neutral,neutral,0.013098143124300764,0.9701913827864672,0.016710474089231993,True
good game,positive,positive,0.01214113235802541,7.349976979480037e-08,0.987858794142205,True
minecraft nice game world,positive,positive,0.05452124929501237,7.051298189353706e-05,0.945408237723094,True
market place working,neutral,neutral,0.022698677543621325,0.9591534818690592,0.018147840587319428,True
noice,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
minecraft india internet connection problem fix,neutral,neutral,0.05740730614947277,0.7360311013652401,0.2065615924852871,True
game good see maney lag think improve game fix lag,negative,negative,0.9102150363303202,3.185938506063645e-05,0.08975310428461922,True
oppppppp,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
game good frame limit capped,positive,positive,0.22852775852873874,0.009437738804857576,0.7620345026664037,True
best game ever mad,negative,positive,2.5511569663291125e-08,1.2752044366013824e-08,0.999999961736386,False
best minecraft game time,positive,positive,1.3704670703199659e-06,6.838203056230622e-07,0.999997945712624,True
keep throwing back home screen im tired fix im deleting app,negative,neutral,0.1914008292141329,0.7921243942891527,0.01647477649671422,False
glitching kick,neutral,neutral,0.08052214495739661,0.896146421494861,0.023331433547742683,True
favourite game p pic game favourite pc game,negative,negative,0.99995123099627,8.508424791710231e-08,4.8683919481817076e-05,True
work iron farm,neutral,neutral,0.01948060579717895,0.9617517454165955,0.018767648786225465,True
yeah yeees,neutral,neutral,0.015847036361558497,0.9610250550721617,0.0231279085662797,True
install minecraft good,positive,positive,6.49916034850504e-07,7.083822509163004e-07,0.9999986417017142,True
please fix lag gb ram phone also lag,neutral,neutral,0.052909857679622176,0.9174676468129567,0.029622495507421347,True
played game year hard believe long,negative,negative,0.9996365709914949,1.2005597109914192e-07,0.00036330895253397077,True
used like minecraft much still,positive,positive,0.306818429921718,0.1095772252975747,0.5836043447807071,True
interesting game love play mostly building fighting,positive,positive,0.005366007775855743,0.00023084170823635267,0.9944031505159078,True
laggy anymore,neutral,neutral,0.07103810760595948,0.8757947219298979,0.0531671704641428,True
cool,positive,positive,0.04367032330311337,0.0065197125416081286,0.9498099641552785,True
amazing,positive,positive,9.656970586239492e-08,1.1114649958655693e-07,0.9999997922837945,True
game really good add vampire vampire mansion game please,negative,negative,0.5937285994040455,0.0006572341506717437,0.4056141664452826,True
love best game everrrrrrrrrrr,positive,positive,3.3333544321082974e-14,1.666689820355643e-14,0.99999999999995,True
thankyou fixing game freeze glitch,negative,negative,0.9246521038538339,0.027278199053575425,0.04806969709259068,True
weve minecraft phone reason son getting advert every minute restarting game every time frustrating paid game unplayable,negative,negative,0.9993889662329138,8.696771651579395e-06,0.0006023369954344588,True
game teached many thing thats favourite game,negative,negative,0.9488935300934743,1.502112532207902e-05,0.05109144878120359,True
like game think boring nobody play,negative,negative,0.9985058824845948,2.419607333844756e-06,0.0014916979080712058,True
mojang mojang cant play server g phone buy game came update liked cant solve server problem mobile player fix problem immediately delete game,negative,negative,0.9560807398595436,0.01693288894494472,0.026986371195511758,True
