processed_text,label
game fun,negative
ive playing long time funeasy star,negative
delete game gon reset phone downloaded back login account addonsworld etc bought gone give money back give back fraud,negative
game emotion,negative
favourite game time,negative
game,negative
minecraft one popular game also fun like game favourite game,negative
op game,negative
people say game teach nothing game bring creativity level,negative
would rated five star wasnt game randomly signing turn deleted world fix mojang want world back,negative
minecraft always place heart ive playing game since day one evan though fun used still enjoy like everyone thing dont like market place im market place price little crazy bedrock almost like different game java updateds taking mouth come game get boring quickly thats pretty much,negative
alright game,negative
update unable connect world problem increase please solve problem,negative
controller touch oldest setup swipe camera swipe swipe camera go touch cam go direction please put back game paid,negative
og game,negative
cool game,negative
fun game like play game,negative
intresting purchase game guess game worst learning play happy fun multiplayer mod pvp build much soon trying leave game game mind blowing,negative
since never fell bored,negative
like game letting install already paid tried refund said cant,negative
way buggy considering game long time worth getting,negative
cant dowload game dowload message come cant dowload minecraft twenty nine rupee get lose,negative
played year randomly uninstalled phone lost world managed log back reinstalling could recover file gone lost hour worth stuff,negative
wonder full game play friend relative,negative
game good want play game like game person plzz like game,negative
unable connect server game say connecting external server never connects please fix issue overall game good,negative
fun game survival world youn want build,negative
bhai mere paisa wapas de yaar,negative
best experience version annoying many glitch like lag middle game automatic game back personally really like game,negative
good one problem cant import custom skin showing allow trusted skin whatsoever skin maybe imported stuck choose model menu nothing appear skin even showed neither button model menu worst thats make picture like profile marketplace menu purple black hope mojang fix,negative
like roblox bet roblox sorry bet like,negative
lag little,negative
like game,negative
honestly love app dont like created world disappears without notice day playing newly created world vanishes hate im sure issue phone app really frustrating hope developer address problem soon,negative
bad game becauseti dissapeared,negative
mere,negative
seriously experiencing paranormal activity game seriously pls look,negative
every single time download minecraft keep giving beta version even though im beta program,negative
awful dont know beta thing longer play friend saying old version update something wont let update im mobile say beta even though im beta program idk fix please,negative
ur searching shipwreck u follow dolphin aroung place dolphin ur searching find enderportal tough find u search youtube seed tried opinion game gorgeous,negative
like game suggest try keep nostalgic,negative
pls dont game game working installing game game instead saying mere ture problem dont pay money pls telling tried install time working properly also trying download,negative
bast game,negative
hi hive got banned reason unfair advantage dont think hive player report please reply,negative
im unable download game purchase seems try every time download,negative
fun game,negative
hey minecraft ke developer yah problem ko jaldi theek karo server closed,negative
control horrible never dig chop destroys place block want building simple house give splitting headache fix dang sensitivity place christ stake,negative
maste game,negative
op game,negative
hey mojang buyer fan game minecraft also old player minecraft deleted minecraft download new version play store downloading signing add fav server problem connect automatically disconnected server please solve problem please,negative
fun sandbox game,negative
didnt interested game pls give oprarer server pls pls pls pls pls pls pls,negative
bad cant install even purchasing,negative
like game much,negative
love kid l like game ten year get game,negative
game suck lag well optimized need optimized low end device,negative
bahut bekar game hai bhai maine ismein paisa de diye lekin yah game aisa bol raha hai ki mere device mein chalega nahin,negative
payed game working well day started seeing texture problem example water becomes black cant see item white ive tried play game different set nothing changed even change graphic quality set could anyone explain,negative
im sorry deleting time downloading back,negative
like game,negative
cant make world flat button wont work ive uninstalled wanted create city im unable button wont shift wish could get money back,negative
amazing game every time im trying get game slowly slowly start crashing make get game kind annoying good game buy,negative
like game dabba block graphic shader,negative
minecraft please fix game lag,negative
frod game pay r game coming frod game,negative
whats dumb fkn update cant even add skin bruh,negative
game century ive already seen since childhood,negative
word game,negative
every people play free fire pubge dont still want play game try fid people said minecraft cube game still play one creative brain game minecraft dont play try,negative
god game,negative
game educational,negative
also leave beta program still beta minecraft annoying,negative
bahut achcha game hai maja gaya khel kar,negative
keep saying newer version game saved bro hate day world,negative
bad game im mean version plz install game fake version,negative
best game ever thing wish didnt buy server like wish could make real server make world turn server also lore recap im tired tryna figure peices game also ik ice age happned long ago brought minecraft ancestor death,negative
really good hate mop,negative
op game,negative
favourite game play hardcore,negative
thank developer fix freeze lag slow problem new version hard panic anymore fight vexbro freeze second back new version please fix freeze every second second freeze coming change star coz ver coming,negative
load world mod put mod world whole phone crash plus log everyday sign make gamertag glitch fun update make worse minecraft fix would rate gotten mad,negative
game downloading,negative
lost world there game cloud storage save progress neither tell lost hard progress shame minecraft,negative
minecraft like know there bug came across go third person game freeze second also game poorly optimized phone,negative
fun game since,negative
ahh word game everything wanted god way minecraft animator skin designer,negative
microsoft account randomly locked single thing recover account cant play game without bcs cant connect friend without one,negative
funny game,negative
game favourite game life,negative
wah kya game,negative
cant buy addons wiif poor,negative
game bestsurvival game forever world,negative
game burik,negative
hello leave beta test program press leave button uninstall reinstall game,negative
bahut accha game hai,negative
endless adventure,negative
game suck enchanted iron armor sword bow shield unbreaking shield hit iron golem arrow shield blocking shield almost full heath iron golem killed blocking hit shield,negative
expensive game gogel play stor love minecraft game game enjoyable game survivalis expected werking game minecraft game map long butiful injoybel mape game mate cool,negative
like game multiplayer also comment get update slowly bedrock edition lot bug fixed lost hardcore world,negative
op game,negative
game also epic game game made lockdown time best also many indian youtubers playing game wotch always there video thought play game game creativity mind good luck steve,negative
worst game world,negative
bad,negative
sadly game starting impossible update including minecraftfor motorola e,negative
minecraft favourite game minecraft game minecraft emotion best game ever,negative
achivements slow,negative
nice game played minecraft yearbest sand box game build house proper city use mod city recmed play game,negative
update made minecraft laggy even building block hurt cause lag heavy play,negative
game literally unplayable samsung device dont know problem phone chip something keep stuttering every block break sudden movement make happens samsung device,negative
yes game profitable played many mobile game feel fun playing game game make stretegy survive survival mode built anything literally anything ever want creative mode bored single player play many server invite friend world opinion play game thank,negative
op game,negative
game coming back motivation ever,negative
th game cant make new world cant get minecraft,negative
game freeze second pls fix problem,negative
likely game seen,negative
bestestt game ever recommend,negative
favourite game right,negative
input lag keep getting disconnected mid game sound part world disappeared like bro fix game,negative
purchased game doesnt installing,negative
one complaint try join friend realm crash please fix good game,negative
horrible game spent time trying fix bug actually playing impossible use texture pack without bug cant join server always say disconnected server atleast spent hour trying fix lead frustration honestly worth playing game,negative
like game,negative
like game game give many knowledge science math emotion every one love game child adult everyone play like play friend also,negative
terrible control bad performance game slowly turn mess,negative
cant dowload even though bought say cant dowload minecraftplay friend mean nonsence payed money star,negative
hello mojang paid downloaded version phone game cant played say trouble finding paid app please resolve problem,negative
fun game often play minecraft like explore game,negative
bad couldnt log,negative
favourite game,negative
game fun admin create game,negative
game bagus tapi kok udah gak ada java edition kalau masih ada tolong bale,negative
yo please change back old minecraft icon minecraft play friend idk feel weird tbh,negative
map become useless leaving loaded map area player item becomes circle make hard know direction returning home,negative
game ithink one best game played mobile well pc feature missing like java swiping edg pocket hors faster minecart etc,negative
super game,negative
roblox betterbecause im putting exact account name password say worngi regret buying game,negative
dont like buyed minecraft game like change device like apsamsung phone saids need buy suck bruhmand go acc buyed game still ssid need buy,negative
game op make sign google,negative
wow thats game legend,negative
good game app bit ver bast game,negative
bruh died five diamond full diamond arm mb meant iron armor people might call skill issue game still start og,negative
bast game ever,negative
many glitch game one glitch got stuck glitch side single bamboo hard walk bamboo,negative
op game,negative
great game complaint offline player every time hop minecraft license error literally pay game ive played cracked mcpe license error pls fix im moving cracked version return money,negative
amazing game wow like game,negative
wanted try paid game tried buy discount turn dont really understand fun playing game ty,negative
time worst able join smp,negative
boi water black fix bug,negative
nice game playing game year,negative
luv game,negative
like play game friend dont friend game isnt enjoyable playing alone,negative
game nugs lag much dint like game im deleting,negative
majestic ahh game,negative
love game there one problem pale garden exist phone mobile,negative
like game everything marketplace working right,negative
requesting minecraft give bata version like graphic better getting bored graphic boring,negative
love game every possible console get reason try play phone im away home always say friend playing minecraft fact trying invite cant join game cant life figure whats going,negative
like game survive game life,negative
love game favourite game offline play game hour,negative
best game ever played one thing bad update world lost app progress version,negative
gameplay amazingbut possible add function list previous command sellect needed,negative
try download minecraft purchased time ago try download wont install like downloading go upto start install say unable install game tried trick download game working device uptodate enough free space done thing installing,negative
person named elizabeth would like ask u hv installed game like minecraft u probally happened problem cant fized tho,negative
game fun playing game favourite game,negative
minecraft favourite mobile game,negative
since nov couldnt obtain block ive broken,negative
bought game downloading happen everyone want play minecraft play store earn money fraud never buy game trust,negative
game nice play like play multiplayer game,negative
fav game,negative
like game,negative
world deleted cant recover anymore ever since joined beta cant play minecraft left uninstalled world gone please fix minecraft spent hour world,negative
pc game downloading,negative
bad game,negative
great game ive always loved however took beta testing ago uninstaller reinstalled game worked today game automatically switched beta even though didnt sign even google play give option join switch beta even though didnt join im playing hot annoying information bar top game playing fix ill put star,negative
game unplayable game constantly freezing freaking frame rate drop badly reason,negative
bad,negative
worst game,negative
super game,negative
good game adventure game villager zombie animalsbirds etc l like game,negative
bast game,negative
player gaming world everyone play whenever want world minecraft play world whenever created he online play also created world save even uninstall game,negative
become ultimate adventure player world l like game amazing game called minecraft mobile phone tablet console p p,negative
owe big chunk life game ive playing since instantly fell love life wouldve incomplete without never played game youre real treat,negative
goatest goated game,negative
mobail caem game,negative
game lagging high performance phone try put render distance chunk game setting still working please give update fix mobile phone,negative
game,negative
purchased game installingi telling game bad,negative
game cool,negative
game updating,negative
favourite game,negative
ive yearning play game since finally could afford minecraft money earnings,negative
mobile leg game,negative
ia pretty game recently issue occord dissconnect evwry server mojang solve,negative
ultimate goddess game,negative
nice game duplicate game minecraft,negative
hello mojang recently purchase minecraft game completely disappointed problem crashing whenever used play always crash minute fix trouble please provide solution u,negative
game downloading phone please refund money,negative
worst,negative
game fun big update,negative
beta tester crazy using deferred shader mcpe much lagger using java shader pojavlauncer getting fps using pojavlauncer use deferred shader mcpe getting well still beta hope final product isnt laggy thanks,negative
reason everytime downloading done app isnt installed phone redownload cycle continue happened last updateit appeqrs might old bug tge game work,negative
sport g mobile game note sport ki server g mobile soul problem,negative
op game,negative
gud game peace,negative
game one favourite interesting open world game,negative
game nice requesting make game like onethank,negative
bad,negative
mean come freaking minecraft mobile else need,negative
every second there random game freeze stop everything screen game keep going getting annoying constantly die due frozen,negative
keep deleting progress world arent realm really irritating work hard spend hour build im proud ti come back see erased frustrating,negative
w game,negative
dont waste ur money shut game wrost game life ask money pay app say game isnt responding,negative
w game,negative
cant get enough anger cant get beta,negative
reason buy game cause really respect developer make childhood memory first game learn crack,negative
like game play friend cousin fun play,negative
people may unfortunately visit realm server get update minecraft decide get new device try downloading minecraft may may work upgraded system phone tablet may support however still use old minecraft apps also get minecraft apps internet work wont get update samsung galaxy tablet unfortunately,negative
best game play kid could spend hour creating mega base playing friend always game play rest life,negative
harsh ek number game hai khelna chahie nai khele hain kya tum karega,negative
love game bought game r enjoy playing game friend,negative
god realistic adventure survive game,negative
redownloaded phone miss old app icon almost thought different game,negative
game childhood thank mojang,negative
like game much,negative
cant updaate game,negative
funniest best game could ever havei mean could play friend familyanyone friend thingits like starsit deserves starsi mean blame,negative
minecraft brealent game,negative
ive fan since childhood game,negative
game bad minecraft best,negative
make keep updating meaning sacrifice apps delete make room stupid update dont actually add anything game ridiculous much space take expect u keep deleting stuff cater need,negative
super game,negative
game keren,negative
like game really dream buy game five year,negative
fav game,negative
bessssssssst game everrrrrrer,negative
aap server bad please solve friend show,negative
beast game,negative
w game,negative
unfortunately microsoft slowly extracting freedom soul game leaving corporate husk wake find old disk copy console edition thats recommended way play,negative
please help cant install game say cant install error,negative
bccccc jevi game che play store per ni v che game idk pan thai jai che huttt,negative
fun game,negative
kept kicking game fix,negative
game ni besttt sebab dia ajar kita cara belajar hidup,negative
bought game mistake please refund money,negative
op game,negative
bahut mast game ek bar,negative
minecrafts optimisation dreadful recent year need proper rewrite run intense game cooler better frame rate frankly annoying put id like add even dolphin emulator running wiis intensive game graphic enhancement run better fail match,negative
game never bored,negative
nice game bad update,negative
game feeling life nostalgia,negative
cant send chat game suddenly crash whenever send text text box sometime loading game device automaticaly restrats,negative
like game problem server joining cut one star,negative
happend glass block black,negative
game downloading purchasing minecraft please solve error,negative
one daily game,negative
hate,negative
minecraft nostalgia crazy,negative
worst game ever want play friend game telling sign working telling write code given send code tried last send code telling fill tried time signing game worst please dont buy day got code searching friend gamertag saying friend literally fed game lot respect game lost,negative
game fun game,negative
ive playing game since back used play mum phone im still like play hella nostalgic,negative
cant download game,negative
hated creeper bow house get man sad start like join family world,negative
nice game technically slightly hard understand,negative
love minecraft underrated game memory explore endless world build building creativity fight monster many nostalgic memory game issue mod texture pack bug glitch noticeable please fix,negative
ini game bikin gw stres cokkkkkkkkk udah disurulogin katanya dikasi kode malah gak dikasih,negative
murder worst server cap,negative
bast game,negative
jay shree ram buy game r,negative
mind blowing game,negative
hate cost money,negative
need lot apps download delete need delete game two get new update,negative
horrible wouldnt let play game wouldnt even let get,negative
minecraft really fun game build explore fight really love game,negative
would give game star minecraft loses bedrock edition still dont really like bedrock despite year mobile port bedrock think play horribly even original minecraft pe anymore still somewhat unique mean minecraft still good game bad version opinion star,negative
cant join server game try join show need authenticate microsoft service also signed also show like please repair otherwise delete download also friend play game also suffering thing also say delete game repair error fast otherwise,negative
like game,negative
first ever game mobile phone,negative
goated game reason,negative
love game soo much freedom game need follow rule explore anywhere,negative
logo fake,negative
please fixe jump button dpad option even customizing shift place u get scaffolding played minecraft long time sudden change control problem jump button making hard play thank,negative
exited beta im still game,negative
fun game,negative
bhai mere friend banoge,negative
sick game g good phone lag build much hope fix,negative
cool game,negative
game boring opinion also pay extra money play minecraft game join server slows game kinda like roblox waste money luckily got refund back,negative
hate app much hope stop updating,negative
nothing say wow game mossy game hardcore mode beta version,negative
always wanted buy game,negative
error code creeper time unable login via wifi tried different one please fix,negative
