processed_text,label,dominant_topic,topic_confidence,topic_keywords
video game world,negative,1,0.044668459557492386,"game, nice, like, favourite, fun"
game bad,negative,1,0.0715551082423865,"game, nice, like, favourite, fun"
one game god play store,negative,1,0.03695073431113373,"game, nice, like, favourite, fun"
cool game,negative,1,0.06799542076402189,"game, nice, like, favourite, fun"
five star game cant change server,negative,1,0.030932712529395234,"game, nice, like, favourite, fun"
favourite game,negative,1,0.08355264759562793,"game, nice, like, favourite, fun"
goodgreat game funner since hardcore came,negative,1,0.034917326104432635,"game, nice, like, favourite, fun"
loved game gave star like year ago however change one star longer update game anymore option literally gone im still dont know minecraft isnt compatible low end device gb ram would like answer can update game,negative,5,0.05567333074225538,"minecraft, love, play, please, like"
w game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
continuous crashing seemingly reason building house starting farm game crash reason crashing mention lag single player world even possible killed multiple time,negative,1,0.01462683995232608,"game, nice, like, favourite, fun"
op game mobile,negative,4,0.2064019563809722,"op, game, minecraft, ever, app"
mass game ever,negative,1,0.0749887086075719,"game, nice, like, favourite, fun"
minecraft doesnt deserve star since would died year ago player mojang seems utterly useless,negative,5,0.06189440101471383,"minecraft, love, play, please, like"
op game,negative,4,0.2912359969570893,"op, game, minecraft, ever, app"
unable connect multiplayer,negative,5,0.0066581547100554965,"minecraft, love, play, please, like"
mass game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
lincense error download day ago say trouble verifying dat mine device like heck star give back money,negative,5,0.03291886484663929,"minecraft, love, play, please, like"
game heart touching game love game,negative,1,0.1154395384757983,"game, nice, like, favourite, fun"
sikibidi toilet,negative,1,0.0,"game, nice, like, favourite, fun"
fire game,negative,1,0.05333544464627002,"game, nice, like, favourite, fun"
use love game updated control absolutely hate destroyed drive etc play since playing old way year year cant stand build new control,negative,5,0.055612343667417456,"minecraft, love, play, please, like"
w game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
gi pu game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
keep making delete important apps dont want delete hate updating every time make delete apps dont want delete get rid point im going stop playing minecraft,negative,5,0.04279480083178018,"minecraft, love, play, please, like"
favourite game,negative,1,0.08355264759562793,"game, nice, like, favourite, fun"
love minecraft lag bad,negative,5,0.1713951758378773,"minecraft, love, play, please, like"
cool game plis download,negative,1,0.052978490481856697,"game, nice, like, favourite, fun"
bug use customized control ingame ride horse animal control reset annoying customize plzz fix device infinix note,negative,5,0.012375978627380315,"minecraft, love, play, please, like"
billion block billion world game soo many mob thanks less price make unlimited aura game download game try new univers thing bad soo many bug pc version bug soo many lesser mobile version choose minecraft pclepotop version game helpful easy fun byy thanks practice game byyeeee,negative,1,0.04582359698527425,"game, nice, like, favourite, fun"
super game miand blowing,negative,1,0.04039687217300742,"game, nice, like, favourite, fun"
minecraft pls fix every time join game press inventory screen turn black kick game pls fix,negative,5,0.05577456401252236,"minecraft, love, play, please, like"
emotionally attached game download play download minecraft chrome browser,negative,5,0.09671432089818977,"minecraft, love, play, please, like"
game many issue bad game,negative,1,0.07725502850391393,"game, nice, like, favourite, fun"
already buy game cant instal dont know always error,negative,1,0.024145199296775915,"game, nice, like, favourite, fun"
good game buy game pocket java bedrock,negative,2,0.07396464196129783,"good, game, really, friend, app"
game century,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
favourite final playing time favourite game ever,negative,1,0.04506826586496567,"game, nice, like, favourite, fun"
bhai hamara game server log nahi ho raha hai hamne sign bhi kar rakha legal tarika se minecraft ko download kiya hai pls solve problem,negative,5,0.053464700811718446,"minecraft, love, play, please, like"
minecraft great game first got game thought would like every game wrong game absolutely cool cant stop playing every time enchant armor texture get glitched,negative,1,0.06251601796734275,"game, nice, like, favourite, fun"
game interesting informative create new idea game,negative,1,0.05730130144292067,"game, nice, like, favourite, fun"
life minecraft endless thing started play craked version price game time version game changed started youtub namely bit iman please subscribe l recommend play fun relaxing game buld survive learned elder brother play friend play bedrock java thanks reading thanks developer,negative,5,0.06680579837389877,"minecraft, love, play, please, like"
really good everything super effing annoying try join friend mod world mobile data tried join download everything keep turning mobile data please fix bug im getting really annoyed,negative,5,0.04259750674621517,"minecraft, love, play, please, like"
like game much,negative,1,0.07191431753378233,"game, nice, like, favourite, fun"
really fun game never get boring there much,negative,1,0.034813316327415494,"game, nice, like, favourite, fun"
game play,negative,1,0.10105059802655486,"game, nice, like, favourite, fun"
world bast game,negative,1,0.04871576895828499,"game, nice, like, favourite, fun"
game keep putting beta trying get looking video minecraft said doesnt work ill change rating find stupid put someone beta pop nothing,negative,5,0.04550072764469775,"minecraft, love, play, please, like"
make minecarts faster make diamond less rarer,negative,5,0.00923480892467913,"minecraft, love, play, please, like"
last update made unable upload world hell minecraft,negative,5,0.06517174173930246,"minecraft, love, play, please, like"
cutey game aahaahahahah,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
op game,negative,4,0.2912359969570893,"op, game, minecraft, ever, app"
game work multiplayer connectivity rather making new mob,negative,1,0.03015547939774677,"game, nice, like, favourite, fun"
love game played year control update worst update bring back old dpad control crosshair,negative,5,0.04197954400032583,"minecraft, love, play, please, like"
game help improve imagination people,negative,1,0.027401024464470885,"game, nice, like, favourite, fun"
pale garden biome game rest fine,negative,1,0.021730954031507294,"game, nice, like, favourite, fun"
game nice game daily playing realistic game,negative,1,0.09336457051241875,"game, nice, like, favourite, fun"
favourite game p pic game favourite pc game,negative,1,0.09789280561194402,"game, nice, like, favourite, fun"
im topo op game,negative,4,0.2168458059642845,"op, game, minecraft, ever, app"
poor game trued install time always showing cant installi followed guidance whuch provided still downloaded,negative,5,0.024020755536963714,"minecraft, love, play, please, like"
wow word game game amazing childhood game,negative,1,0.08751473452552803,"game, nice, like, favourite, fun"
w game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
cant install game already paid,negative,1,0.034368303503999977,"game, nice, like, favourite, fun"
favourite game minecraft,negative,5,0.130147441678822,"minecraft, love, play, please, like"
like building keep signing letting back deleting skinsdeleting world annoying fix youve lost business downloaded tried sign account guess never ever got code get star,negative,5,0.028979516086366303,"minecraft, love, play, please, like"
game fun,negative,1,0.09161266357245429,"game, nice, like, favourite, fun"
op game,negative,4,0.2912359969570893,"op, game, minecraft, ever, app"
hey user bought thus game trusted bought rupee rupee rupee liked game much want fix issue water source showing black black outside blue inside please fix buy game bug put trust please dont let,negative,1,0.03070184891819174,"game, nice, like, favourite, fun"
op game,negative,4,0.2912359969570893,"op, game, minecraft, ever, app"
ive playing minecraft since late lovee itt heart even though dont play much anymore still charming game literally anyone play dont get wrong thing make gameplay slightly frustrating theyve updated dpad mobile kinda horrible scoffed glitchy inconvenient time oh screen also sometimes glitch stutter try look around,negative,5,0.06188997900060525,"minecraft, love, play, please, like"
one favorite game l playing game l love game,negative,1,0.10726038223778805,"game, nice, like, favourite, fun"
goat game,negative,1,0.05374229735675365,"game, nice, like, favourite, fun"
beast game world,negative,1,0.040841410635242485,"game, nice, like, favourite, fun"
game working saying minecraft isnt responding please fix idk saying money also waste,negative,5,0.06289355471734737,"minecraft, love, play, please, like"
please fix glitch game good bug ar irritating game chal hi nehi raha please fixed,negative,2,0.04702319815717816,"good, game, really, friend, app"
game fun like itevery time join beta got uninstall alright know secret mojang think u watch eystreem see secret released online add holiday creator feature back wan use mod add back new update review one star,negative,5,0.03216782726599327,"minecraft, love, play, please, like"
addons block getting achievement trophy java add mod still get base game achievementstrophies bedrock get blocked fun trying get achievement trophy,negative,5,0.01873035146106147,"minecraft, love, play, please, like"
bahut badhiya game,negative,1,0.05306694282894606,"game, nice, like, favourite, fun"
game giltch opened dead respawn item gone reduced vanished effort vain,negative,1,0.037576340218365804,"game, nice, like, favourite, fun"
far game go say downside update glitch skin wont show import skin custom forever stuck loading happing right sometimes glitch bug bad even uninstalling game wont fix good game really starting sloppy update,negative,1,0.03368262047638694,"game, nice, like, favourite, fun"
use good game absolutely un playable everything glitch never able join sever dose actually work game feel half assed awful forever mc fan straight garbage screw microsoft,negative,2,0.03361029505719818,"good, game, really, friend, app"
game childhood,negative,1,0.06022575410442834,"game, nice, like, favourite, fun"
favourite game,negative,1,0.08355264759562793,"game, nice, like, favourite, fun"
finally thank fixing glitch game performance lag reasongg,negative,1,0.024735836672587098,"game, nice, like, favourite, fun"
horrible doesnt like like update every minute,negative,5,0.033095584091717006,"minecraft, love, play, please, like"
break job block villager still job pls fix im tired bug,negative,5,0.016834459336959002,"minecraft, love, play, please, like"
game turn,negative,1,0.05151877348076003,"game, nice, like, favourite, fun"
nice game game heart piece yaar,negative,1,0.10014695795465284,"game, nice, like, favourite, fun"
game stutter freeze every second z fold changing graphic setting effect amount freeze stutter,negative,1,0.018640771028229558,"game, nice, like, favourite, fun"
im stuck beta mode cant join friend game cant get ticket weird code inbtop screen didnt ask ton gte beta,negative,5,0.032315771256998325,"minecraft, love, play, please, like"
fun game,negative,1,0.09161266357245429,"game, nice, like, favourite, fun"
personally really like game really great wish way transfer mobile copy pc copy game ill buy already know thats possible,negative,1,0.03052665351472969,"game, nice, like, favourite, fun"
pls fix amour glitch enchanting amination look like block also ruin experience game,negative,1,0.025735228193111644,"game, nice, like, favourite, fun"
annoying always say couldnt validate login please mojang fix issue,negative,5,0.03467521898110223,"minecraft, love, play, please, like"
dont get wrong game perfect much fun friend could see used mobile phone could join server could join friend could join chromebook flippin annoying cant even get multiplayer even possible reason need guardian allow literally multiplayer instantly phone get rid annoying,negative,5,0.03974411012081698,"minecraft, love, play, please, like"
latest dpad layout design look horrendously bad compared previous one revert back,negative,5,0.008841540414571955,"minecraft, love, play, please, like"
bought game expensive low price many month,negative,1,0.024154261916468064,"game, nice, like, favourite, fun"
bad really doesnt let download alot space,negative,5,0.019582355040948556,"minecraft, love, play, please, like"
wtffff hate give star u guyss listening u fixed screen freeze problem happening android phone happening fav game bug annoying plz fix also want giva star rating game plz fix reduce lag game phone gb ram proccesser good phone new still lag like fps plz optimise game,negative,1,0.037135710541330975,"game, nice, like, favourite, fun"
best game world favourite game life multiplayer game survival game,negative,1,0.10518671415884946,"game, nice, like, favourite, fun"
game uniqueful,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
dream game,negative,1,0.05166142471685726,"game, nice, like, favourite, fun"
nice game ill playing since year trail update disappointed travel trial chamber didnt get heavy core please increase chance heavy core,negative,1,0.022864515529216336,"game, nice, like, favourite, fun"
fix lag problem game start lagging due overbuilding,negative,1,0.026194758523392692,"game, nice, like, favourite, fun"
good one problem play like minute hour always lag game annoying hate still good game,negative,2,0.09547569291731633,"good, game, really, friend, app"
goog bad,negative,5,0.006825022149960111,"minecraft, love, play, please, like"
hate new minecraft map update bought woodland mansion map far away dont know go there pointer there white circle,negative,5,0.04499836238398395,"minecraft, love, play, please, like"
never played game give enjoyment fun game,negative,1,0.07573496085487418,"game, nice, like, favourite, fun"
adventure game,negative,1,0.058145077214592604,"game, nice, like, favourite, fun"
waste money cant even play survival freeze every even though using high end device,negative,5,0.0305072986877105,"minecraft, love, play, please, like"
game keep crashing loading,negative,1,0.034029435724111205,"game, nice, like, favourite, fun"
literally game nostalgic always play ive never anything wrong,negative,1,0.025241417895658175,"game, nice, like, favourite, fun"
like game really fun still would like parity feature bedrock java make fewer difference problem get trying save world externally,negative,5,0.04708733852824061,"minecraft, love, play, please, like"
im playing since game came yr ago building derpy house monument lot memory game thank u mojang,negative,1,0.0409404365373014,"game, nice, like, favourite, fun"
love game played minecraft since st released pc till mobile device there issue minecraft noticed lag issue game block tree break block stock pas even already bin broken make xray pas see ore cave even dont xray mod lag issue facing north south laggy even phone run extreme mode please fix problem next update,negative,5,0.0813559352311911,"minecraft, love, play, please, like"
m beast game c love game game good,negative,1,0.09944660660634173,"game, nice, like, favourite, fun"
favourite game,negative,1,0.08355264759562793,"game, nice, like, favourite, fun"
game goat game,negative,1,0.0965872572821371,"game, nice, like, favourite, fun"
game nya seru,negative,1,0.04589033110179436,"game, nice, like, favourite, fun"
one problem elytron ki sahayata se ud nahi paa raha hu second problem hard core moode nahi khel paa raha hu,negative,5,0.01202547367908513,"minecraft, love, play, please, like"
getting worse worse new updatenow doesnt even let customize character skin without logging inblatant money grabbing attempt microsoft,negative,5,0.013635336482779613,"minecraft, love, play, please, like"
thing glitch take stuff f imagery close game,negative,1,0.0270110410730562,"game, nice, like, favourite, fun"
installed cant buy waste money,negative,5,0.02216611238195091,"minecraft, love, play, please, like"
black smear game ender portal,negative,1,0.027794951583551743,"game, nice, like, favourite, fun"
love game swear game like thank creating game called minecraft,negative,5,0.10401243569569743,"minecraft, love, play, please, like"
lag bad,negative,5,0.010688628978304072,"minecraft, love, play, please, like"
game get boring unless play friend group larger pay money play time lackluster update mojang doesnt care community,negative,5,0.044083568051206216,"minecraft, love, play, please, like"
game emotion,negative,1,0.050279566840778604,"game, nice, like, favourite, fun"
wish could rate zero star write review game minecraft frame rate drop one facing problem many play smart phone dont know mojang fix game really disappointed,negative,5,0.05950190358655316,"minecraft, love, play, please, like"
game dee,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
oppppppp game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
waste lot time,negative,5,0.010453346133428567,"minecraft, love, play, please, like"
minecraft boring make end date homeless get richer richer richer,negative,5,0.07423387898116345,"minecraft, love, play, please, like"
love game fun sometimes scary,negative,5,0.052700796684940994,"minecraft, love, play, please, like"
buy game boring game start say world garbage game please give refund game,negative,1,0.08151415842114257,"game, nice, like, favourite, fun"
mod wala game hi,negative,1,0.031013846379746194,"game, nice, like, favourite, fun"
favourite game among,negative,1,0.08355264759562793,"game, nice, like, favourite, fun"
bad install mobile,negative,5,0.019797591834977826,"minecraft, love, play, please, like"
game suck dont know recovermy world worked hard,negative,1,0.027722297900441586,"game, nice, like, favourite, fun"
creeper awful blasting hour new update included irritating creeper,negative,5,0.00738490734313619,"minecraft, love, play, please, like"
game improving creativity,negative,1,0.06240546649539268,"game, nice, like, favourite, fun"
best game always play multiplayer server single player recent update swiming game much difficult using dpad somtimes player stop second mob wont give damage quite annoying died lot due really frustrating please fix mojang overall hate best game,negative,3,0.03971365241324932,"best, ever, world, game, played"
bast game,negative,1,0.05491745381475543,"game, nice, like, favourite, fun"
unbelievable game thanks rupee,negative,1,0.04198657261667081,"game, nice, like, favourite, fun"
bad greedy,negative,5,0.006825022149960111,"minecraft, love, play, please, like"
played game im addicted fun,negative,1,0.03869735295617108,"game, nice, like, favourite, fun"
womp womp worst game ever,negative,1,0.044708274389356206,"game, nice, like, favourite, fun"
like game block mob gamemodes,negative,1,0.0479622805465145,"game, nice, like, favourite, fun"
poor performance ptw update,negative,5,0.007046663078412425,"minecraft, love, play, please, like"
like game new bundle build anything want ill rate star,negative,1,0.026279537081684748,"game, nice, like, favourite, fun"
would give game star wasnt laggy even playing offline still lag like atleast make game optimise know microsoft love money optimise game theyre make money one like playing game optimise,negative,1,0.04618750954024206,"game, nice, like, favourite, fun"
minecraft good play friend sometimes minecraft boring,negative,5,0.1664585578858916,"minecraft, love, play, please, like"
game quite fun know way around survival though choose play survival creative truly depends wan play game,negative,1,0.03627385979119968,"game, nice, like, favourite, fun"
game downloading dont know reason give downloading install working full internet see game maker issue,negative,1,0.03484443235269021,"game, nice, like, favourite, fun"
said need authenticate microsoft account even tho im already login even showed menu hate cant play,negative,5,0.030493880567522117,"minecraft, love, play, please, like"
game emotion kerala gaming community,negative,1,0.029867465904328327,"game, nice, like, favourite, fun"
bought game,negative,1,0.06232902683287587,"game, nice, like, favourite, fun"
mind blowing game would interest play one thing game freeze break block also walk game become freeze,negative,1,0.05120475650887518,"game, nice, like, favourite, fun"
game feeling ilove game much,negative,1,0.12515129774462472,"game, nice, like, favourite, fun"
basti game india,negative,1,0.05865338299536859,"game, nice, like, favourite, fun"
favorite game cant find game like minecraft besttttttttttt game world,negative,5,0.09252693192888849,"minecraft, love, play, please, like"
trash doesnt work always freeze phone always glitch always pause reason stupid game,negative,1,0.016380654393997798,"game, nice, like, favourite, fun"
bad game sorry good game yes,negative,2,0.07407541232559978,"good, game, really, friend, app"
game download minecraft,negative,5,0.1630190953941666,"minecraft, love, play, please, like"
minecraft awesomest game ever,negative,5,0.14809648502232284,"minecraft, love, play, please, like"
like game much,negative,1,0.07191431753378233,"game, nice, like, favourite, fun"
really miss day enjoy goat game friend server day become bad although purchased many effort face disconnected server joining server pls fix mojang dont forget op game surpassed game covid time,negative,4,0.04476282904875244,"op, game, minecraft, ever, app"
make lot different building game,negative,1,0.03295611181855087,"game, nice, like, favourite, fun"
minecraft favourite game,negative,5,0.130147441678822,"minecraft, love, play, please, like"
good game like favourite game,negative,2,0.11145532342255736,"good, game, really, friend, app"
bought game cant install frustrating please fix issue mojang say cant install mincraftplay friendstry doesnt work see common way fix problem,negative,5,0.055122208995164096,"minecraft, love, play, please, like"
wast game india,negative,1,0.05865338299536859,"game, nice, like, favourite, fun"
absolutely hate recent change control overcomplicates thing way much understand upgrading match new ui least give way use classic split control instead,negative,5,0.015838214474837166,"minecraft, love, play, please, like"
horrible,negative,5,0.00047487005245077616,"minecraft, love, play, please, like"
fun game,negative,1,0.09161266357245429,"game, nice, like, favourite, fun"
mojang please add function let u change version game bedrock please please item holded hand,negative,5,0.043972944136429847,"minecraft, love, play, please, like"
deleted world didnt save bot dumb know want lost much progress,negative,5,0.017103759503364246,"minecraft, love, play, please, like"
fav game,negative,1,0.05376626007750113,"game, nice, like, favourite, fun"
w game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
realistic game,negative,1,0.04582871935592232,"game, nice, like, favourite, fun"
really good tablet weird glitch cant import addons game open google wallet wps office minecraft super annoying game good otherwise,negative,2,0.07772666056320551,"good, game, really, friend, app"
bought game twice play phone give license error give money back,negative,5,0.02348576350381043,"minecraft, love, play, please, like"
minecraft favourite game,negative,5,0.130147441678822,"minecraft, love, play, please, like"
continues delete inventory anytime quit game solution work apparently issue decade sheer incompetence minecraft dev team astonishing every single one lose job barred ever participating game industry rest pathetic life app buggy disaster,negative,5,0.039154026663724854,"minecraft, love, play, please, like"
bhadiya game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
thing wrong hard play mobile,negative,5,0.025522969499411952,"minecraft, love, play, please, like"
cant login due sign method isnt sign inside application instead using chrome third party app cause minecraft restart everytime sign reset game forcing sign losing world progress time,negative,5,0.03773150200118644,"minecraft, love, play, please, like"
normally id give star despite saying im longer beta play store im still beta app hate betai cant play anyone extremely laggy even deleted redownload still im beta tried giving feedback there option want beta mode cant play,negative,5,0.04385538285449325,"minecraft, love, play, please, like"
hate,negative,5,0.002987100666189219,"minecraft, love, play, please, like"
game worst knock real minecraft bad hated,negative,5,0.08043826396597842,"minecraft, love, play, please, like"
bad singing knowing,negative,5,0.006825022149960111,"minecraft, love, play, please, like"
goood game,negative,1,0.0462572293195499,"game, nice, like, favourite, fun"
mean minecraft favourite game open app load game say app can continue close didnt rn cant play minecraft stress,negative,5,0.09542519822025503,"minecraft, love, play, please, like"
feel bug lag game,negative,1,0.038215152004357995,"game, nice, like, favourite, fun"
op game,negative,4,0.2912359969570893,"op, game, minecraft, ever, app"
game funnnnn,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
laggy got killed home encountered zombie cave hour ago,negative,5,0.00403876625562462,"minecraft, love, play, please, like"
im done minecraft failed company ive read almost every negative review relate every single person im furious awesome game changed pile ash worth nothing im uninstalling waste buck extreme lag skin bug texture loading countless error anyone reading better playing pc xbox work properly microsoft failed million people breaking mobile minecraft done,negative,5,0.06081744366002511,"minecraft, love, play, please, like"
need tell think might already know goated game,negative,1,0.023007582541102443,"game, nice, like, favourite, fun"
game taking tge piss minecraft flip wanted load skin use wifi let load skin realm use wifi can join friend play anybody piss take game hope creator get fricked alleyway edition horrible one even tho one great get touched,negative,5,0.050227536205401525,"minecraft, love, play, please, like"
unable download minecraft phone,negative,5,0.11446465367654947,"minecraft, love, play, please, like"
mere phone mein minecraft game download nahin ho pa rahi raja raha hai kuchh uska koi solution hai bataiyega,negative,5,0.04489597441916303,"minecraft, love, play, please, like"
playing minecraft since v v boring play interesting thing boring new thing come new update interesting please make interesting,negative,5,0.05838298586538326,"minecraft, love, play, please, like"
fun game,negative,1,0.09161266357245429,"game, nice, like, favourite, fun"
og game full memory,negative,1,0.03074104902636102,"game, nice, like, favourite, fun"
w game pls add bedrock stuff like java,negative,1,0.033087731834779366,"game, nice, like, favourite, fun"
worst app ever seen cant even install,negative,5,0.02608876283202261,"minecraft, love, play, please, like"
disappointed new update controler pad minecraft increase gap bw button movement please solve issue request,negative,5,0.06096630474044207,"minecraft, love, play, please, like"
noobda game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
cant play game bought hour work doesnt,negative,1,0.0317014427800159,"game, nice, like, favourite, fun"
app list great game creativity definitely recommend something also wrong marketplace wont let device download anything oh well also psst mojang change photo mobile doesnt accurately show game,negative,1,0.02745562254221916,"game, nice, like, favourite, fun"
game fire played since im yo,negative,1,0.028755670264053915,"game, nice, like, favourite, fun"
aop game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
game yang sangat bagus,negative,1,0.032729074214269585,"game, nice, like, favourite, fun"
dont like game another sentence title game,negative,1,0.08518276589865698,"game, nice, like, favourite, fun"
favourite game gta,negative,1,0.08355264759562793,"game, nice, like, favourite, fun"
bored plan play offline,negative,5,0.019242915159922745,"minecraft, love, play, please, like"
well let start sandbox since sandbox mean endless yeah,negative,5,0.007618404186179641,"minecraft, love, play, please, like"
noice game guy,negative,1,0.03526496942956782,"game, nice, like, favourite, fun"
good game every time uninstall game pay far happened time,negative,2,0.051010211243048706,"good, game, really, friend, app"
gooood game,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
bast game lif,negative,1,0.05491745381475543,"game, nice, like, favourite, fun"
game suckss,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
badest game ever giving literally star game seen literally lagging,negative,1,0.03881129834503563,"game, nice, like, favourite, fun"
paid game saying dont license month still cant access game,negative,1,0.04354038040506929,"game, nice, like, favourite, fun"
hello mojang world missing diamond need help game one world missing diamond,negative,1,0.014892172566088841,"game, nice, like, favourite, fun"
pay rupee game game install device minecraft please something,negative,5,0.08135908244789523,"minecraft, love, play, please, like"
bast game,negative,1,0.05491745381475543,"game, nice, like, favourite, fun"
verry nice game favourite game,negative,1,0.1289583577636676,"game, nice, like, favourite, fun"
good game mojang studio please collab rockstar game,negative,2,0.08279304003064734,"good, game, really, friend, app"
betaaii can join server paid got bad want minecraft solve problem,negative,5,0.08798684414958524,"minecraft, love, play, please, like"
best game ever second place whenever get bored play game cod,negative,3,0.060517519319639924,"best, ever, world, game, played"
really like game,negative,1,0.07119692324667201,"game, nice, like, favourite, fun"
thing dont like control uncomfortable yes option customize there much freedom inside,negative,5,0.02075787725234928,"minecraft, love, play, please, like"
bast game walda,negative,1,0.05491745381475543,"game, nice, like, favourite, fun"
gaming playing long time,negative,5,0.015029189397626718,"minecraft, love, play, please, like"
op game,negative,4,0.2912359969570893,"op, game, minecraft, ever, app"
suddenly im running minecraft beta despite signing get unstable mess outta,negative,5,0.06036347686633714,"minecraft, love, play, please, like"
game always number one game childhood style soundtrack ambience nostalgia game want make cry everytime hear wet hand mouse venus,negative,1,0.06037544983674465,"game, nice, like, favourite, fun"
clearly optimized phone menu stretch corner screen making unable click back button also terrible app purchase profanity filter sign world name singleplayer lol edit year later button still rounded corner screen nearly impossible tap ever get fixed,negative,5,0.020073610202191748,"minecraft, love, play, please, like"
word say goodness game,negative,1,0.04443689177075489,"game, nice, like, favourite, fun"
playing year never got bored,negative,5,0.01588701791078938,"minecraft, love, play, please, like"
game fun friend buy,negative,1,0.05369826878581122,"game, nice, like, favourite, fun"
dont axolotl onesie since updated game,negative,1,0.03972457288339444,"game, nice, like, favourite, fun"
game lag freeze need fix game bad,negative,1,0.06301424255562764,"game, nice, like, favourite, fun"
